Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Date of Birth,Date of Joining,SSN
850297,Ms.,Shawna,W,Buck,F,shawna.buck@gmail.com,12/12/1971,12/18/2010,222-11-7603
304721,Mr.,Nathaniel,Z,Burke,M,nathaniel.burke@walmart.com,10/31/1993,4/25/2017,550-99-9897
412317,Drs.,Elisabeth,W,Foster,F,elisabeth.foster@gmail.com,11/26/1994,3/27/2017,215-91-0004
621375,Mrs.,Briana,C,Lancaster,F,,11/24/1975,2/25/2003,534-71-1053
,Hon.,Estella,L,Potter,F,estella.potter@gmail.com,3/13/1995,10/11/2016,644-29-6396
520092,Mr.,Lamont,L,Woods,M,lamont.woods@hotmail.com,10/13/1991,11/27/2014,037-74-2595
795934,Ms.,Melinda,L,,F,melinda.lopez@hotmail.com,9/15/1984,11/22/2005,541-83-6362
159108,Mrs.,Shanna,U,Silva,F,shanna.silva@gmail.com,6/19/1958,10/23/1999,673-48-7003
330816,Ms.,Jasmine,J,Freeman,F,jasmine.freeman@gmail.com,8/31/1961,2/1/1983,600-99-8437
,Ms.,Madge,V,Sargent,F,madge.sargent@aol.com,10/2/1981,4/13/2006,177-86-7347
612850,Ms.,Bethany,Z,Cline,F,bethany.cline@yahoo.ca,10/1/1986,4/19/2008,700-18-6519
483751,Prof.,Reid,F,Randolph,M,reid.randolph@gmail.com,1/20/1989,4/8/2017,343-11-4951
252938,Hon.,Antoine,H,,M,antoine.wiley@verizon.net,2/22/1996,4/18/2017,078-02-8772
966375,Dr.,Mathew,O,Hodge,M,mathew.hodge@hotmail.com,7/5/1995,11/11/2016,161-86-9547
707520,Mr.,Bernardo,L,Austin,M,bernardo.austin@hotmail.com,2/2/1975,1/26/2005,143-23-9034
673049,Dr.,Cole,E,Jensen,M,cole.jensen@aol.com,2/10/1990,5/30/2011,762-12-1934
265124,Ms.,Tonia,J,Burns,F,tonia.burns@gmail.com,4/19/1985,9/12/2014,093-02-0725
300693,Mr.,Tod,N,Holcomb,M,tod.holcomb@outlook.com,6/21/1987,6/5/2015,770-02-9125
369712,Mrs.,Yesenia,B,Guerrero,F,yesenia.guerrero@btinternet.com,3/29/1968,,494-29-3248
913253,Mr.,Carey,B,Ferrell,M,carey.ferrell@yahoo.com,5/22/1972,10/30/2004,522-99-2018
308617,Mrs.,Aileen,D,Blanchard,F,aileen.blanchard@gmail.com,12/5/1986,7/18/2009,401-73-0903
766783,Mrs.,Marta,N,Cervantes,F,marta.cervantes@gmail.com,2/17/1971,9/17/2016,530-99-5537
959506,Mr.,Arthur,Q,Holloway,M,arthur.holloway@aol.com,9/21/1970,1/27/2004,210-84-4283
513011,Ms.,Tara,Y,Forbes,F,tara.forbes@gmail.com,6/26/1976,9/24/2009,249-99-1301
290808,Mr.,Josef,S,Griffin,M,josef.griffin@yahoo.com,8/14/1976,2/25/1998,263-99-4192
253588,Ms.,Keri,J,Slater,F,keri.slater@apple.com,8/3/1960,8/9/1994,391-33-2772
865628,Mr.,Desmond,R,Wynn,M,desmond.wynn@hotmail.com,7/9/1992,10/1/2013,672-48-8042
583924,Mrs.,Adrienne,H,Puckett,F,adrienne.puckett@verizon.net,5/22/1975,2/22/1997,218-89-2915
932453,Mrs.,Beatriz,I,Knowles,F,beatriz.knowles@gmail.com,2/25/1984,9/16/2011,708-18-8763
432168,Hon.,Jermaine,S,Sykes,M,jermaine.sykes@apple.com,1/18/1990,5/24/2016,558-99-4351
463784,Mr.,Scott,H,Best,M,scott.best@cox.net,8/24/1990,12/22/2015,118-98-6210
721098,Ms.,Isabel,Q,Espinoza,F,isabel.espinoza@gmail.com,12/9/1971,10/14/1993,393-33-2020
392678,Mr.,Marcelino,Y,Kinney,M,marcelino.kinney@gmail.com,1/26/1996,2/28/2017,013-94-1066
880704,Dr.,Benjamin,X,Jennings,M,benjamin.jennings@gmail.com,5/21/1977,6/10/2001,585-99-8326
186102,Drs.,Marcia,N,Casey,F,marcia.casey@gmail.com,7/24/1966,11/8/2013,433-99-1252
350367,Mr.,Rudolph,P,Gordon,M,rudolph.gordon@aol.com,4/28/1979,11/12/2001,461-99-0808
893976,Ms.,Beverly,I,Rosales,F,beverly.rosales@yahoo.com,3/4/1975,4/24/2005,475-55-0832
542826,Mr.,Marcus,D,Bolton,M,marcus.bolton@aol.com,7/5/1977,1/9/2011,068-02-2280
590579,Ms.,Priscilla,Z,Mays,F,priscilla.mays@gmail.com,9/4/1985,2/26/2017,377-37-1416
297741,Ms.,Lynn,E,Pena,F,lynn.pena@yahoo.co.in,8/14/1962,11/8/1996,524-99-3502
458320,Ms.,Tessa,D,Pace,F,tessa.pace@aol.com,12/7/1957,12/29/2012,135-25-6072
297059,Mr.,Rufus,S,Guerra,M,rufus.guerra@rediffmail.com,12/25/1967,5/1/2004,200-84-8326
874971,Mr.,Roman,R,Clark,M,roman.clark@aol.com,12/25/1962,1/8/1985,093-02-5729
136626,Ms.,Carmela,D,Jefferson,F,carmela.jefferson@walmart.com,3/17/1975,2/27/2003,395-33-1359
865495,Mr.,Thurman,J,Good,M,thurman.good@yahoo.com,1/27/1996,2/6/2017,306-37-8083
415161,Dr.,Lemuel,V,Guerrero,M,lemuel.guerrero@aol.com,6/7/1985,10/15/2011,759-12-8112
279563,Mr.,Clint,A,Bridges,M,clint.bridges@aol.com,5/3/1994,10/14/2015,366-39-9002
201710,Ms.,Karyn,A,Christian,F,karyn.christian@aol.com,5/22/1983,6/18/2017,338-11-7664
722543,Ms.,Lesa,E,Hughes,F,lesa.hughes@bp.com,2/13/1981,1/3/2016,302-15-6438
909337,Mr.,Rich,M,Bates,M,rich.bates@apple.com,2/28/1989,1/22/2011,762-12-7813
601071,Ms.,Liz,H,Frank,F,liz.frank@hotmail.com,3/15/1986,2/14/2009,361-08-6826
269523,Hon.,Kendra,X,Villarreal,F,kendra.villarreal@gmail.com,10/22/1963,3/30/2007,298-15-2734
310986,Drs.,Maryellen,R,Mcfadden,F,maryellen.mcfadden@hotmail.co.uk,10/3/1975,4/14/2017,437-99-3995
323914,Mr.,German,M,Carney,M,german.carney@aol.com,7/21/1958,5/14/2000,117-98-3137
928739,Hon.,Micheal,A,Shannon,M,micheal.shannon@earthlink.net,12/8/1986,2/27/2015,610-87-0573
238992,Dr.,Carlo,X,Albert,M,carlo.albert@gmail.com,12/6/1961,12/26/1996,684-24-8918
434046,Mrs.,Bianca,I,Langley,F,bianca.langley@gmail.com,6/3/1960,4/14/1994,548-99-1891
971444,Mr.,Elias,X,Cabrera,M,elias.cabrera@yahoo.com,7/13/1990,5/2/2016,327-11-4323
602683,Ms.,Alberta,A,Chapman,F,alberta.chapman@comcast.net,6/5/1972,6/29/1999,043-15-2394
145327,Mr.,Erin,M,Olsen,M,erin.olsen@yahoo.ca,8/8/1994,4/19/2016,078-02-5597
597202,Dr.,Frederic,E,Stephenson,M,frederic.stephenson@gmail.com,10/15/1969,4/23/2013,718-18-4544
168824,Mr.,Tanner,T,Caldwell,M,tanner.caldwell@aol.com,4/8/1968,6/6/1999,651-62-1143
616665,Mr.,Clarence,I,Powers,M,clarence.powers@gmail.com,7/5/1982,4/11/2005,485-41-0226
396135,Prof.,German,I,Sheppard,M,german.sheppard@gmail.com,7/29/1991,10/24/2014,521-99-4180
966525,Mr.,Dion,U,Duffy,M,dion.duffy@aol.com,4/6/1995,1/16/2017,537-71-4655
362287,Mr.,Cornelius,V,Townsend,M,cornelius.townsend@charter.net,6/2/1970,4/26/2009,440-29-7897
798646,Ms.,Patsy,N,Koch,F,patsy.koch@gmail.com,7/15/1984,3/9/2010,607-87-2784
451972,Hon.,Waldo,I,Shields,M,waldo.shields@aol.com,11/29/1970,2/22/2012,770-02-3111
993675,Hon.,Damien,Z,Rose,M,damien.rose@gmail.com,7/15/1965,12/17/2005,619-87-8206
807964,Mr.,Curt,Y,Bridges,M,curt.bridges@microsoft.com,10/22/1978,9/17/2011,633-31-8420
769123,Mr.,Brenton,N,Matthews,M,brenton.matthews@bellsouth.net,11/6/1970,12/27/1994,495-29-4565
395792,Hon.,Miguel,W,Finley,M,miguel.finley@gmail.com,7/6/1980,7/12/2004,698-16-2863
929791,Ms.,Esperanza,E,Paul,F,esperanza.paul@aol.com,12/10/1960,3/14/1990,318-11-9459
141326,Hon.,Patricia,C,Briggs,F,patricia.briggs@yahoo.com,11/13/1975,5/5/2000,711-18-1075
232794,Dr.,Forrest,B,Noel,M,forrest.noel@hotmail.com,3/25/1978,4/5/1999,107-98-0848
946835,Hon.,Marjorie,J,Wells,F,marjorie.wells@bp.com,9/14/1961,12/2/2005,725-18-0941
894936,Ms.,Vivian,T,Burnett,F,vivian.burnett@gmail.com,2/9/1960,9/6/2001,001-11-5958
946630,Mr.,Duncan,L,Chen,M,duncan.chen@yahoo.co.uk,2/17/1964,11/2/2000,247-99-3757
381338,Ms.,Miriam,A,Barrett,F,miriam.barrett@yahoo.ca,6/25/1990,3/8/2016,031-92-2692
141178,Mr.,Adam,X,Kirby,M,adam.kirby@yahoo.ca,8/11/1963,8/3/2015,152-23-6880
169763,Prof.,Benjamin,X,Macdonald,M,benjamin.macdonald@gmail.com,5/16/1976,4/20/1999,295-15-3529
326358,Mr.,Neil,U,Murray,M,neil.murray@apple.com,9/17/1985,3/24/2016,375-37-8892
185077,Ms.,Nichole,S,Oneil,F,nichole.oneil@shaw.ca,11/30/1957,3/24/2008,768-02-1938
901185,Mr.,Jonathon,M,Pearson,M,jonathon.pearson@yahoo.com,9/30/1967,8/17/2015,263-99-7250
264960,Dr.,Brent,J,Bryant,M,brent.bryant@aol.com,5/9/1960,12/30/1985,592-99-1277
248449,Ms.,Carlene,E,Cain,F,carlene.cain@rediffmail.com,11/25/1985,6/25/2007,056-02-8441
906870,Mr.,Arnulfo,M,Pittman,M,arnulfo.pittman@yahoo.ca,9/26/1972,5/11/2002,355-08-6207
160503,Mr.,Nickolas,Z,Williams,M,nickolas.williams@gmail.com,6/23/1985,6/15/2009,501-37-0648
212917,Prof.,Raymundo,W,Kramer,M,raymundo.kramer@aol.com,4/29/1975,7/1/2002,526-99-6591
337955,Mr.,Jeremiah,W,Dotson,M,jeremiah.dotson@cox.net,7/16/1988,1/21/2015,562-99-8892
171553,Mr.,Tanner,I,Matthews,M,tanner.matthews@rediffmail.com,9/24/1976,12/7/2008,602-87-3904
433510,Mr.,Dorian,A,Foster,M,dorian.foster@gmail.com,7/24/1960,8/15/2009,021-94-2703
970502,Drs.,Nora,I,Hansen,F,nora.hansen@yahoo.co.uk,11/13/1982,6/1/2004,766-04-0139
668717,Hon.,Danial,F,Watts,M,danial.watts@hotmail.com,8/15/1959,6/9/2013,235-57-6265
479832,Dr.,Nelson,H,Mcintosh,M,nelson.mcintosh@bp.com,8/17/1975,7/15/2005,100-02-9212
273645,Dr.,Manuel,J,Fulton,M,manuel.fulton@gmail.com,7/16/1983,6/29/2017,695-16-1078
266284,Hon.,Dominic,U,Henson,M,dominic.henson@aol.com,4/8/1979,2/6/2003,670-48-0872
332802,Mr.,Lowell,M,Erickson,M,lowell.erickson@gmail.com,9/2/1982,10/23/2013,506-57-1112
166615,Mrs.,Jayne,O,Coleman,F,jayne.coleman@yahoo.ca,8/18/1980,11/27/2010,361-08-7099
953967,Mr.,Cornell,G,Daniel,M,cornell.daniel@yahoo.com,5/27/1960,10/31/2004,285-15-0464
114425,Mrs.,Doris,G,Glenn,F,doris.glenn@yahoo.co.uk,1/14/1976,9/2/2002,695-16-1021
676618,Drs.,Tabatha,C,Gonzales,F,tabatha.gonzales@sbcglobal.net,6/9/1966,8/7/2009,601-99-3515
581563,Prof.,Jerome,E,Foreman,M,jerome.foreman@verizon.net,12/11/1988,8/28/2015,525-99-8310
925484,Mr.,Elton,L,Ferguson,M,elton.ferguson@ibm.com,11/30/1982,5/9/2006,060-02-7585
328562,Mr.,Stacy,V,Jennings,M,stacy.jennings@gmail.com,6/6/1980,6/28/2006,772-02-1098
759248,Dr.,Rory,V,Fowler,M,rory.fowler@shaw.ca,3/6/1976,12/22/2004,582-99-8089
158543,Mr.,Greg,S,Kane,M,greg.kane@bp.com,4/13/1964,5/21/1992,359-08-4375
275491,Dr.,Julian,Y,Russo,M,julian.russo@gmail.com,4/15/1958,1/27/1988,193-86-6196
257927,Ms.,Agnes,J,Herman,F,agnes.herman@gmail.com,12/12/1975,1/4/1998,285-15-4898
144114,Mrs.,Nancy,P,Gillespie,F,nancy.gillespie@ibm.com,4/26/1980,2/3/2011,571-99-8980
262843,Mr.,Tyrone,N,Soto,M,tyrone.soto@yahoo.com,4/7/1973,10/26/2002,260-99-2602
963676,Mr.,Bradley,L,Chan,M,bradley.chan@hotmail.com,6/30/1979,12/2/2002,578-53-2084
745672,Dr.,Emile,A,Love,M,emile.love@gmail.com,10/19/1980,1/23/2011,463-99-4496
135089,Prof.,Zachary,G,Gregory,M,zachary.gregory@cox.net,11/14/1986,7/14/2010,022-92-4866
593953,Drs.,Tara,A,Gutierrez,F,tara.gutierrez@aol.com,1/29/1971,8/17/1995,533-71-1082
169348,Mr.,Aubrey,T,Pugh,M,aubrey.pugh@gmail.com,12/13/1993,3/1/2016,029-92-8064
976096,Mr.,Carroll,E,Sweeney,M,carroll.sweeney@walmart.com,6/13/1989,6/22/2016,496-29-5249
790389,Ms.,Claudette,W,Solomon,F,claudette.solomon@yahoo.com,12/20/1984,7/24/2014,715-18-3952
143898,Mr.,Ricky,C,Bowers,M,ricky.bowers@hotmail.com,11/5/1976,12/28/2008,579-53-3688
749765,Mr.,Brian,S,Fitzpatrick,M,brian.fitzpatrick@gmail.com,11/30/1978,11/9/2007,076-02-8987
877422,Hon.,Nicholas,T,Branch,M,nicholas.branch@gmail.com,2/4/1992,6/13/2013,582-99-0794
825343,Mrs.,Eileen,A,Hobbs,F,eileen.hobbs@gmail.com,5/10/1964,8/1/1994,721-18-8978
155570,Mr.,Colin,G,Wilson,M,colin.wilson@yahoo.com,3/14/1976,4/15/2002,456-99-5072
587361,Hon.,Rosario,W,Trevino,F,rosario.trevino@hotmail.co.uk,12/20/1960,6/30/2001,438-99-6733
191240,Mr.,Salvador,Q,Gutierrez,M,salvador.gutierrez@hotmail.com,2/27/1994,1/24/2016,433-99-8048
404070,Prof.,Aldo,J,Medina,M,aldo.medina@gmail.com,11/6/1973,10/4/2009,450-99-2217
192175,Dr.,Bret,J,Blevins,M,bret.blevins@gmail.com,9/30/1979,7/11/2015,097-02-5670
825853,Hon.,Dominic,H,Mosley,M,dominic.mosley@gmail.com,7/19/1996,7/27/2017,524-99-5211
430843,Ms.,Karina,J,Owens,F,karina.owens@gmail.com,10/30/1957,6/30/1984,021-94-2215
597805,Hon.,Marquis,R,Perkins,M,marquis.perkins@aol.com,11/30/1984,4/7/2012,395-33-0468
651120,Mr.,Damon,G,Solomon,M,damon.solomon@aol.com,7/31/1964,5/10/2008,074-02-6697
995242,Mr.,Leonel,K,Atkins,M,leonel.atkins@hotmail.com,7/11/1996,7/27/2017,191-86-5365
839558,Mr.,Teddy,A,Merritt,M,teddy.merritt@msn.com,6/10/1977,5/15/2010,330-11-1775
398788,Ms.,Alexandria,Y,Long,F,alexandria.long@hotmail.com,2/15/1989,11/16/2010,351-08-0065
166790,Ms.,Margaret,C,Reilly,F,margaret.reilly@yahoo.com,10/5/1971,1/8/1995,085-02-5151
581261,Dr.,Willis,L,Rose,M,willis.rose@gmail.com,7/27/1979,12/25/2010,502-37-0169
793523,Prof.,Donovan,O,Bowman,M,donovan.bowman@hotmail.com,3/3/1987,9/16/2011,333-11-3489
178602,Mrs.,Kristina,Q,Mcgowan,F,kristina.mcgowan@gmail.com,8/29/1978,5/11/2007,177-86-1872
346662,Mr.,Garth,I,Clarke,M,garth.clarke@yahoo.com,11/11/1969,11/7/2015,473-55-8809
817037,Mr.,Martin,W,Buchanan,M,martin.buchanan@charter.net,9/14/1974,7/14/2001,698-16-9625
648913,Mr.,Irwin,D,Jenkins,M,irwin.jenkins@aol.com,5/20/1975,5/23/2013,027-92-7402
924281,Mr.,Reynaldo,P,Sosa,M,reynaldo.sosa@gmail.com,10/15/1965,5/3/1989,583-99-6285
951857,Drs.,Sherri,T,Snyder,F,sherri.snyder@gmail.com,5/30/1991,8/21/2013,690-22-1232
474759,Mr.,Johnny,E,Dunlap,M,johnny.dunlap@gmail.com,11/2/1962,7/15/2012,473-55-5773
144715,Mr.,Earnest,X,Kirk,M,earnest.kirk@gmail.com,3/1/1965,9/21/2005,424-65-1841
141086,Dr.,Bernardo,Q,Mcdowell,M,bernardo.mcdowell@gmail.com,5/28/1963,4/24/2003,065-02-8230
633255,Hon.,Yvette,U,Warner,F,yvette.warner@yahoo.com,6/17/1996,7/9/2017,080-02-6759
768457,Mr.,Robby,U,Jordan,M,robby.jordan@comcast.net,3/20/1974,3/12/2007,731-28-7678
583282,Mrs.,Carolina,Y,Coleman,F,carolina.coleman@aol.com,10/30/1994,7/1/2016,522-99-8409
421955,Ms.,Sonia,X,Cook,F,sonia.cook@gmail.com,7/3/1965,12/25/2012,211-84-2167
556491,Prof.,Larry,C,Tran,M,larry.tran@gmail.com,1/12/1970,3/15/2007,145-23-5514
701223,Ms.,Esmeralda,P,Grant,F,esmeralda.grant@yahoo.com,12/19/1990,1/24/2013,536-71-6439
122005,Hon.,Candy,K,Singleton,F,candy.singleton@hotmail.com,6/29/1981,4/11/2017,334-11-6997
461385,Mrs.,Emma,E,Obrien,F,emma.obrien@gmail.com,9/15/1966,12/2/2012,425-99-7082
249180,Dr.,Scot,M,Beach,M,scot.beach@sbcglobal.net,7/31/1980,6/29/2010,756-12-8398
634658,Mr.,Rolland,D,Mendoza,M,rolland.mendoza@yahoo.com,8/5/1966,1/26/2015,180-86-0187
842752,Mrs.,Tommie,B,Sanchez,F,tommie.sanchez@gmail.com,6/6/1974,9/25/1997,148-23-0773
513773,Prof.,Jessie,N,Cortez,M,jessie.cortez@exxonmobil.com,9/20/1981,4/16/2016,165-86-1499
781472,Mr.,Isiah,T,Guthrie,M,isiah.guthrie@bellsouth.net,8/19/1965,5/6/2009,100-02-2099
747200,Mrs.,Janelle,Q,Gill,F,janelle.gill@gmail.com,5/27/1962,7/13/1999,390-33-9081
932425,Mr.,Christoper,Y,Haynes,M,christoper.haynes@yahoo.com,9/1/1979,2/24/2014,488-29-1186
962851,Ms.,Kathie,E,Kirby,F,kathie.kirby@sbcglobal.net,11/22/1986,7/30/2011,492-29-8466
168829,Ms.,Antonia,H,Kinney,F,antonia.kinney@gmail.com,2/9/1985,5/26/2006,125-98-4079
603575,Ms.,Ophelia,V,Wagner,F,ophelia.wagner@ibm.com,2/2/1972,11/25/2013,083-02-0316
419075,Mrs.,Hallie,G,Cervantes,F,hallie.cervantes@aol.com,6/30/1979,4/3/2016,649-56-2968
224473,Ms.,Adriana,R,Mcfarland,F,adriana.mcfarland@outlook.com,8/29/1978,1/10/2000,256-99-0570
552582,Hon.,Jana,L,Weiss,F,jana.weiss@gmail.com,1/4/1968,6/3/2000,315-35-7587
724235,Mr.,Quentin,J,Benson,M,quentin.benson@gmail.com,3/21/1980,4/17/2013,131-98-3113
908007,Mrs.,Debra,S,Pena,F,debra.pena@ibm.com,11/25/1990,9/17/2015,168-86-9131
871610,Mr.,Kenton,I,Moreno,M,kenton.moreno@shell.com,1/19/1993,1/8/2016,647-21-4922
491595,Prof.,Ian,O,Alvarado,M,ian.alvarado@aol.com,9/25/1965,12/27/1998,073-02-6652
821474,Mr.,Jasper,F,Lucas,M,jasper.lucas@yahoo.co.in,9/18/1981,2/12/2003,344-11-3729
206783,Hon.,Brock,X,Roberts,M,brock.roberts@yahoo.co.in,2/27/1968,1/8/1991,367-39-5971
870463,Mr.,Salvador,S,Deleon,M,salvador.deleon@hotmail.com,4/7/1969,2/21/1995,662-22-8169
809491,Mr.,Terence,U,Giles,M,terence.giles@yahoo.com,9/15/1976,6/12/2010,175-86-1083
924427,Mr.,Dario,O,Townsend,M,dario.townsend@yahoo.com,5/10/1962,1/27/1994,222-11-0449
505780,Drs.,Ester,Z,Houston,F,ester.houston@ibm.com,3/12/1978,7/1/2007,551-99-8062
149904,Ms.,Leanne,R,Mcmahon,F,leanne.mcmahon@shaw.ca,1/11/1964,5/8/1985,122-98-1489
886315,Dr.,Valentin,S,Montoya,M,valentin.montoya@aol.com,11/7/1965,1/5/1997,532-71-1470
